Index,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Deaths/1M Pop,Total Tests,Tests/1M Pop,Population
72,Slovenia,"257,221",+11,"4,419 ",+2,"251,939",+124,863,23,"123,710","2,125","1,342,135","645,500","2,079,219 "
73,Oman,"256,542",,"2,848 ",,"224,077",,"29,617",464,"49,020",544,"1,550,000","296,173","5,233,428 "
74,Moldova,"256,475",,"6,182 ",,"249,465",,828,47,"63,725","1,536","1,238,936","307,830","4,024,744 "
75,Sri Lanka,"249,926",,"2,862 ",,"214,668",,"32,396",,"11,624",133,"3,743,577","174,108","21,501,412 "
76,Thailand,"240,452","+4,161","1,870 ",+51,"196,675","+3,569","41,907","1,662","3,436",27,"8,129,670","116,185","69,972,030 "
77,Armenia,"224,728",+93,"4,506 ",+1,"216,489",+66,"3,733",,"75,700","1,518","1,171,097","394,484","2,968,684 "
78,Qatar,"221,590",+125,588 ,,"219,202",+161,"1,800",59,"78,919",209,"2,145,918","764,269","2,807,805 "
79,Bosnia and Herzegovina,"204,945",,"9,655 ",,"181,725",,"13,565",,"62,852","2,961","1,023,310","313,828","3,260,736 "
80,Libya,"192,129",,"3,185 ",,"177,358",,"11,586",,"27,594",457,"1,106,200","158,872","6,962,827 "
81,Kenya,"181,885",,"3,556 ",,"123,853",,"54,476",113,"3,311",65,"1,933,402","35,198","54,928,857 "
82,Cuba,"177,253",,"1,219 ",,"165,611",,"10,423",162,"15,659",108,"4,948,516","437,155","11,319,820 "
83,Nigeria,"167,430",,"2,119 ",,"163,937",,"1,374",11,793,10,"2,266,591","10,736","211,128,862 "
84,North Macedonia,"155,669",+6,"5,484 ",,"149,950",+4,235,25,"74,723","2,632","870,380","417,791","2,083,290 "
85,S. Korea,"154,457",+668,"2,012 ",+3,"145,989",+600,"6,456",149,"3,010",39,"10,495,516","204,541","51,312,544 "
86,Myanmar,"151,573",,"3,282 ",,"134,779",,"13,512",,"2,768",60,"2,701,400","49,325","54,767,761 "
87,Zambia,"146,031","+2,816","1,967 ",+52,"121,965","+2,554","22,099","1,270","7,732",104,"1,836,418","97,236","18,886,255 "
88,Algeria,"137,772",,"3,678 ",,"95,878",,"38,216",24,"3,087",82,"230,861","5,173","44,625,798 "
89,Latvia,"137,169",+39,"2,503 ",+2,"133,489",+176,"1,177",41,"73,523","1,342","2,874,544","1,540,768","1,865,657 "
90,Albania,"132,506",,"2,455 ",,"129,975",,76,3,"46,094",854,"789,809","274,744","2,874,708 "
91,Estonia,"130,941",+34,"1,269 ",,"127,130",+84,"2,542",3,"98,644",956,"1,514,727","1,141,113","1,327,412 "
92,Norway,"130,491",+80,792 ,,"88,952",,"40,747",9,"23,887",145,"6,043,353","1,106,268","5,462,831 "
93,Kyrgyzstan,"119,873",+892,"1,971 ",+7,"107,915",+524,"9,987",102,"18,082",297,"1,270,951","191,710","6,629,558 "
94,Afghanistan,"114,220","+1,095","4,650 ",+56,"67,483",+300,"42,087","1,124","2,871",117,"592,610","14,895","39,785,041 "
95,Uzbekistan,"108,730",+546,727 ,+2,"104,461",+454,"3,542",23,"3,203",21,"1,377,915","40,593","33,944,271 "
